iter	Logloss
0	0.5669544472
1	0.4981628407
2	0.4316101628
3	0.3697406823
4	0.3295999721
5	0.2998634046
6	0.2743392827
7	0.2515818491
8	0.2300116212
9	0.2159020151
10	0.2033814276
11	0.1944525577
12	0.1857881595
13	0.1769966602
14	0.1687757835
15	0.1627524006
16	0.1566340479
17	0.1513898492
18	0.1458806308
19	0.1416076305
20	0.1371504615
21	0.1334145829
22	0.1302794553
23	0.1261984818
24	0.1231743498
25	0.1205711631
26	0.117187321
27	0.114819421
28	0.1119306462
29	0.1099563126
30	0.1071280519
31	0.1057966898
32	0.1038719857
33	0.1026400387
34	0.1019642031
35	0.1004621615
36	0.09957226038
37	0.09792413738
38	0.09646501693
39	0.09546321323
40	0.09436765617
41	0.09311456363
42	0.09182898389
43	0.09123774279
44	0.08988990606
45	0.08934727556
46	0.08893756822
47	0.08845036517
48	0.08809084886
49	0.08745199184
50	0.08690138739
51	0.08616525988
52	0.08587831502
53	0.08453193843
54	0.08371290717
55	0.08282221038
56	0.08170607654
57	0.08131246315
58	0.07965784439
59	0.07927431838
60	0.07781974011
61	0.07712929674
62	0.07675543123
63	0.07532164944
64	0.07427931465
65	0.07399541866
66	0.07364928932
67	0.073143724
68	0.07287334235
69	0.07258663562
70	0.07229005522
71	0.07160118729
72	0.0708262713
73	0.07057770287
74	0.07000538917
75	0.06975113966
76	0.06952869105
77	0.0692639613
78	0.0689224401
79	0.06871811083
80	0.06846226883
81	0.06821907913
82	0.06801025592
83	0.06770737638
84	0.06746940034
85	0.06619310039
86	0.06597656602
87	0.06576811272
88	0.06543434461
89	0.06522223506
90	0.0649988949
91	0.06392075766
92	0.06372187536
93	0.06236490056
94	0.06208192839
95	0.06131265177
96	0.06112527573
97	0.06071444997
98	0.06052709453
99	0.060162226
