iter	Passed	Remaining
0	229	22691
1	282	13853
2	322	10418
3	362	8705
4	402	7646
5	443	6943
6	482	6415
7	520	5990
8	560	5665
9	598	5384
10	635	5145
11	676	4962
12	716	4795
13	753	4631
14	793	4497
15	832	4369
16	870	4250
17	908	4140
18	946	4035
19	985	3941
20	1023	3849
21	1059	3754
22	1094	3662
23	1127	3571
24	1160	3481
25	1194	3399
26	1229	3323
27	1262	3246
28	1296	3173
29	1330	3104
30	1364	3037
31	1399	2973
32	1432	2908
33	1465	2845
34	1499	2784
35	1532	2724
36	1566	2666
37	1599	2609
38	1633	2555
39	1667	2501
40	1700	2447
41	1735	2396
42	1768	2344
43	1801	2292
44	1835	2243
45	1868	2193
46	1901	2144
47	1935	2096
48	1970	2050
49	2003	2003
50	2036	1956
51	2070	1911
52	2105	1866
53	2138	1821
54	2173	1778
55	2206	1733
56	2241	1690
57	2274	1646
58	2307	1603
59	2343	1562
60	2377	1520
61	2414	1479
62	2452	1440
63	2488	1399
64	2523	1358
65	2561	1319
66	2597	1279
67	2633	1239
68	2667	1198
69	2704	1159
70	2747	1122
71	2780	1081
72	2820	1043
73	2860	1004
74	2898	966
75	2937	927
76	2971	887
77	3005	847
78	3038	807
79	3074	768
80	3113	730
81	3148	691
82	3183	651
83	3219	613
84	3255	574
85	3291	535
86	3326	497
87	3365	458
88	3399	420
89	3433	381
90	3465	342
91	3498	304
92	3529	265
93	3563	227
94	3598	189
95	3635	151
96	3666	113
97	3699	75
98	3733	37
99	3766	0
